,ltt,lgt,land_no,cluster
55,13.900774888647597,100.70544409584146,104658,2
56,13.900647230060647,100.7054579031555,104659,2
57,13.900503293674968,100.70547114461657,104660,2
58,13.900375158652151,100.7054808682761,104661,2
59,13.90025209390872,100.705492188902,104662,2
60,13.900129030704324,100.70550350896087,104663,2
61,13.90000596616819,100.70551482937056,104664,2
62,13.899882905388411,100.70552614997942,104665,2
71,13.901266399339434,100.70904711241228,51783,6
72,13.901256788498577,100.70900885230428,51784,6
73,13.901251040885665,100.70896849804546,51785,6
74,13.901244229686723,100.70892827773002,51786,6
75,13.901237980752812,100.70888788718742,51787,6
76,13.901230617906233,100.70884657317512,51788,6
77,13.901223742733617,100.70880416842732,51789,6
78,13.90121684752907,100.7087571835934,51790,6
79,13.90113933981893,100.70831417995925,51791,6
80,13.901132282765747,100.70826812673444,51792,6
81,13.901125505232102,100.7082276310607,51793,6
82,13.90112019358607,100.7081857328612,51794,6
83,13.901110215932318,100.70814325007858,51795,6
84,13.901106392741942,100.70810009785488,51796,6
85,13.90109747265864,100.70806050742571,51797,6
86,13.901089916240366,100.70802125025764,51798,6
87,13.901084250187584,100.70798101695313,51799,6
88,13.901076265051104,100.70793184361088,51800,6
89,13.901067635319366,100.70787866975516,51801,6
